,0
0,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE
1,DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN
2,DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE
3,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE
4,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106
5,EXCEEDING MAXIMUM SPEED 53 MPH IN A POSTED 35 MPH ZONE
6,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER
7,DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING
8,NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON
9,PARKING WHERE PROHIBITED BY OFFICIAL SIGNS
10,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103
11,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS
12,OPERATOR NOT RESTRAINED BY SEATBELT
13,EXCEEDING POSTED MAXIMUM SPEED LIMIT 59 MPH IN A POSTED 50 MPH ZONE
14,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED
15,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND
16,DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
17,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL
18,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
19,EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE
20,DRIVING WHILE LIC SUSP UNDER 16203 16206A2 FAIL TO ATTEND DIP 17106 26204206 27103
21,FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND
22,EXCEEDING MAXIMUM SPEED 74 MPH IN A POSTED 55 MPH ZONE
23,VIOLATING LIC RESTRICTION
24,DRIVER CHANGING LANES WHEN UNSAFE
25,EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 55 MPH ZONE
26,DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING
27,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION
28,FAILURE OF VEH DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION
29,FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION
30,FALSIFYINGATTEMPT FALSIFY WITH FRAUDULENT INTENT OFFICIAL DOCUMENTPLATE ISSUED BY AD
31,DRIVING WHILE IMPAIRED BY ALCOHOL
32,OPER MV WITH OPERATOR NOT RESTRAINED BY SEATBELT
33,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS
34,EXCEEDING POSTED MAXIMUM SPEED LIMIT 50 MPH IN A POSTED 30 MPH ZONE
35,DISPLAY SUSPENDED LIC
36,EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 35 MPH ZONE
37,EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 55 MPH ZONE
38,EXCEEDING POSTED MAXIMUM SPEED LIMIT 39 MPH IN A POSTED 30 MPH ZONE
39,EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 45 MPH ZONE
40,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHDAMAGE
41,DRIVER SPINNING WHEELS
42,EXCEEDING MAXIMUM SPEED 70 MPH IN A POSTED 40 MPH ZONE
43,UNSAFE PASSING TO RIGHT OF OVERTAKEN VEH
44,OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY
45,OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT
46,FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO ON UNATTENDED DAMAGED VEH
47,DRIVING UNREGISTERED MOTOR VEHICLE VEHICLE ON HIGHWAY
48,FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS
49,EXCEEDING MAXIMUM SPEED 51 MPH IN A POSTED 35 MPH ZONE
50,DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION
51,EXCEEDING MAXIMUM SPEED 59 MPH IN A POSTED 50 MPH ZONE
52,DRIVER FAILURE TO STOP AT STOP SIGN LINE
53,DRIVER FAILING TO MAKE LEFT TURN FROM LEFT TURN LANE
54,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE
55,DRIVER READING ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
56,DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL
57,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 26204
58,RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY
59,DRIVING UNINSURED VEHICLE
60,EXCEEDING MAXIMUM SPEED 104 MPH IN A POSTED 55 MPH ZONE
61,DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT
62,OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL
63,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY
64,EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE
65,WILLFUL MOTOR VEH DAMAGING TAMPERING WO OWNERS CONSENT
66,DRIVER WRITING A TEXT MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
67,DRIVER WRITINGSENDING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
68,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH DURING REG PERIOD
69,LICENSEE FAILURE TO APPLY FOR DUP LIC WHEN LIC MUTILATED
70,DRIVER WRITINGSENDINGREADING A TEXTELECTRONICMSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
71,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION
72,EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE
73,DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL
