keywords,description_category
displaying expired registration plate issued state,15
driver fail stop red traffic signal right turn,14
driving influence alcohol per se,3
person driving motor vehicle highway public use property suspended license privilege,7
displaying expired registration plate issued state,15
person driving motor vehicle license suspended 17106,7
exceeding maximum speed 53 mph posted 35 mph zone,4
failure display registration card upon demand police officer,6
driver entering intersection flashing red traffic signal without stopping,13
negligent driving vehicle careless imprudent manner endangering property life person,2
parking prohibited official signs,13
person driving motor vehicle license suspended 17106 26204 26206 27103,7
driver failure obey properly placed traffic control device instructions,5
negligent driving vehicle careless imprudent manner endangering property life person,2
operator restrained seatbelt,1
person driving motor vehicle highway public use property suspended license privilege,7
person driving motor vehicle license suspended 17106 26204 26206 27103,7
exceeding posted maximum speed limit 59 mph posted 50 mph zone,4
driving vehicle excess reasonable prudent speed highway speed,4
failure individual driving highway display license uniformed police demand,7
failure display registration card upon demand police officer,6
driving drive motor vehicle highway without required license authorization,7
driving vehicle influence alcohol,3
driving motor vehicle highway without required license authorization,7
failure individual driving highway display license uniformed police demand,7
driver failure obey properly placed traffic control device instructions,5
exceeding maximum speed 44 mph posted 35 mph zone,4
driver entering intersection flashing red traffic signal without stopping,13
driving motor vehicle highway without required license authorization,7
driving lic susp 16203 16206a2 fail attend dip 17106 26204206 27103,7
failure veh hwy display lighted lamps illuminating device unfavorable visibility cond,11
exceeding maximum speed 74 mph posted 55 mph zone,4
operator restrained seatbelt,1
person driving motor vehicle highway public use property suspended license privilege,7
negligent driving vehicle careless imprudent manner endangering property life person,2
violating lic restriction,7
driver changing lanes unsafe,2
exceeding posted maximum speed limit 64 mph posted 55 mph zone,4
driver failing give turn signal continuously last 100 travel turning,2
driver using hands use handheld telephone whilemotor vehicle motion,2
person driving motor vehicle highway public use property suspended license privilege,7
failure veh driver involved accident give insurance policy information,8
failure control vehicle speed highway avoid collision,9
falsifyingattempt falsify fraudulent intent official documentplate issued ad,0
displaying expired registration plate issued state,15
driving vehicle influence alcohol,3
driving impaired alcohol,3
displaying expired registration plate issued state,15
oper mv operator restrained seatbelt,1
failure maintain legible registration plate free covers,15
negligent driving vehicle careless imprudent manner endangering property life person,2
operator restrained seatbelt,1
driver failure obey properly placed traffic control device instructions,5
driver failure obey properly placed traffic control device instructions,5
exceeding posted maximum speed limit 50 mph posted 30 mph zone,4
display suspended lic,7
person driving motor vehicle highway public use property suspended license privilege,7
exceeding maximum speed 50 mph posted 35 mph zone,4
failure display registration card upon demand police officer,6
exceeding maximum speed 80 mph posted 55 mph zone,4
exceeding posted maximum speed limit 39 mph posted 30 mph zone,4
exceeding maximum speed 54 mph posted 45 mph zone,4
driving drive motor vehicle highway without required license authorization,7
failure return remain scene accidentinvolving attended vehdamage,8
failure individual driving highway display license uniformed police demand,7
driver spinning wheels,10
exceeding maximum speed 70 mph posted 40 mph zone,4
driving impaired alcohol,3
unsafe passing right overtaken veh,2
operating unregistered motor vehicle highway,12
driver using hands use handheld telephone whilemotor vehicle motion,2
oper motor veh operator restrained seat belt,1
driving motor vehicle highway without required license authorization,7
person driving motor vehicle highway public use property suspended license privilege,7
driver using hands use handheld telephone whilemotor vehicle motion,2
person driving motor vehicle highway public use property suspended license privilege,7
failure motor veh driver furnish written id info unattended damaged veh,0
driving impaired alcohol,3
driving impaired alcohol,3
driving unregistered motor vehicle vehicle highway,17
failure licensee notify administration change address within 30 days,0
exceeding maximum speed 51 mph posted 35 mph zone,4
person driving motor vehicle license suspended 17106 26204 26206 27103,7
failure individual driving highway display license uniformed police demand,7
failure veh driver involved accident give insurance policy information,8
driver turning left fail yield right way vehicle approaching opposite direction,2
oper motor veh operator restrained seat belt,1
failure individual driving highway display license uniformed police demand,7
driving influence alcohol per se,3
failure control vehicle speed highway avoid collision,9
operating unregistered motor vehicle highway,12
driving motor vehicle highway without required license authorization,7
exceeding maximum speed 59 mph posted 50 mph zone,4
operator restrained seatbelt,1
driver failure stop stop sign line,13
driver entering intersection flashing red traffic signal without stopping,13
displaying expired registration plate issued state,15
displaying expired registration plate issued state,15
driver failure stop stop sign line,13
failure individual driving highway display license uniformed police demand,7
driver failing make left turn left turn lane,2
person driving motor vehicle highway public use property revoked license privilege,7
person driving motor vehicle highway public use property suspended license privilege,7
driver reading electronic msg oper veh travel portion hwy,2
driver failure obey properly placed traffic control device instructions,5
driver using hands use handheld telephone whilemotor vehicle motion,2
driver failure stop steady circular red signal,14
driving motor veh lic suspended 26204,7
reckless driving vehicle wanton willful disregard safety persons property,2
driving uninsured vehicle,12
failure individual driving highway display license uniformed police demand,7
exceeding maximum speed 104 mph posted 55 mph zone,4
driving drive motor vehicle highway without required license authorization,7
driver motor vehicle following vehicle closer reasonable prudent,2
driver using hands use handheld telephone whilemotor vehicle motion,2
operating vehicle highway unauthorized window tinting material,16
driving vehicle excess reasonable prudent speed highway,4
failure display registration card upon demand police officer,6
exceeding maximum speed 34 mph posted 25 mph zone,4
displaying expired registration plate issued state,15
person driving motor vehicle highway public use property suspended license privilege,7
willful motor veh damaging tampering wo owners consent,17
driving impaired alcohol,3
driving motor vehicle highway without required license authorization,7
operator restrained seatbelt,1
driver writing text msg oper veh travel portion hwy,17
failure individual driving highway display license uniformed police demand,7
driver writingsending textelectronic msg oper veh travel portion hwy,17
owner failure maintain required security veh reg period,9
licensee failure apply dup lic lic mutilated,7
driving motor vehicle highway without required license authorization,7
driving vehicle influence alcohol,3
driver writingsendingreading textelectronicmsg oper veh travel portion hwy,17
driving drive motor vehicle highway without required license authorization,7
negligent driving vehicle careless imprudent manner endangering property life person,2
exceeding maximum speed 44 mph posted 35 mph zone,4
driving vehicle highway suspended registration,12
exceeding maximum speed 39 mph posted 30 mph zone,4
failure individual driving highway display license uniformed police demand,7
driving vehicle influence alcohol,3
driver entering intersection flashing red traffic signal without stopping,13
driving vehicle influence alcohol,3
driving drive motor vehicle highway without required license authorization,7
exceeding posted maximum speed limit 64 mph posted 55 mph zone,4
failure individual driving highway display license uniformed police demand,7
failure individual driving highway display license uniformed police demand,7
driver fail stop steady red arrow signal,14
driving vehicle highway suspended registration,12
driving veh hwy unpaid registration fee,12
failure control vehicle speed highway avoid collision,9
driver turning left fail yield right way vehicle approaching opposite direction,2
driving veh excess reasonable prudent speed hwy,4
driving influence alcohol per se,3
exceeding posted maximum speed limit 45 mph posted 35 mph zone,4
driving motor vehicle highway without required license authorization,7
failure display registration card upon demand police officer,6
exceeding posted maximum speed limit 47 mph posted 35 mph zone,4
failure stop stop sign,13
person driving motor vehicle license suspended 17106 26204 26206 27103,7
exceeding maximum speed 57 mph posted 40 mph zone,4
person driving motor vehicle license suspended tr 17106 26204 26206 27103,7
driving vehicle highway suspended registration,12
failure attach vehicle registration plates front rear,15
failure driver slow reasonable prudent speed passing stopped emerg veh,2
displaying expired registration plate issued state,15
driver entering intersection flashing red traffic signal without stopping,13
negligent driving vehicle careless imprudent manner endangering property life person,2
displaying expired registration plate issued state,15
driving vehicle influence alcohol,3
failure veh yield intersection rightofway another veh,2
failure control vehicle speed highway avoid collision,9
possessing one drivers license one time,7
driving motor vehicle highway without required license authorization,7
reckless driving vehicle wanton willful disregard safety persons property,2
driving motor vehicle highway without required license authorization,7
driving impaired alcohol,3
failure individual driving highway display license uniformed police demand,7
exceeding maximum speed 41 mph posted 25 mph zone,4
driving motor vehicle highway without required license authorization,7
driver failure stop stop sign line,13
failure individual driving highway display license uniformed police demand,7
operating veh hwy altered dangerous bumper suspension,17
person driving motor vehicle highway public use property suspended license privilege,7
willfully driving motor veh slow speed impeding normal reasonable traffic movement,9
driver failure obey properly placed traffic control device instructions,5
exceeding maximum speed 83 mph posted 55 mph zone,4
driving motor vehicle highway without required license authorization,7
driving vehicle highway suspended registration,12
exceeding posted maximum speed limit 44 mph posted 35 mph zone,4
exceeding maximum speed 45 mph posted 30 mph zone,4
exceeding posted maximum speed limit 64 mph posted 55 mph zone,4
failure stop stop sign,13
driver failure obey properly placed traffic control device instructions,5
holding id card issued sec holding another,17
failure individual driving highway display license uniformed police demand,7
exceeding maximum speed 44 mph posted 35 mph zone,4
