unique_code,violation_type,category,vehicle_age,belts,personal_injured,contributed_to_accident,property_damaged,vehicle_category,arrest_category
"""Code_12032""",1,2,6,1,0,0,0,1,1
"""Code_16050""",1,13,6,1,1,0,0,3,1
"""Code_30737""",1,12,16,1,0,0,0,1,1
"""Code_20430""",1,7,24,1,0,0,0,1,1
"""Code_19632""",1,4,12,1,0,0,0,1,1
"""Code_21448""",1,1,20,1,0,0,0,1,1
"""Code_15192""",1,8,29,1,0,0,1,1,1
"""Code_12369""",1,7,26,1,0,0,0,1,1
"""Code_12393""",1,7,25,1,0,0,0,1,1
"""Code_12325""",1,13,19,1,0,0,0,1,1
"""Code_25605""",1,4,15,1,0,0,0,1,2
"""Code_22578""",1,7,13,1,0,0,0,1,1
"""Code_12711""",1,2,23,1,0,1,1,1,1
"""Code_4002""",1,4,12,1,0,0,0,2,2
"""Code_1959""",1,7,24,1,0,0,0,1,1
"""Code_19572""",1,5,15,1,0,0,0,1,1
"""Code_7989""",1,4,10,1,0,0,0,1,1
"""Code_8838""",1,4,15,1,0,0,0,1,1
"""Code_4937""",1,7,11,1,0,0,0,1,2
"""Code_6658""",1,7,28,1,0,0,0,1,1
"""Code_11582""",1,4,11,1,0,0,0,2,2
"""Code_1255""",1,5,10,1,0,0,0,1,1
"""Code_26788""",1,0,18,1,0,0,0,1,1
"""Code_8939""",1,13,10,1,0,0,0,1,1
"""Code_24223""",1,7,26,1,0,0,0,1,1
"""Code_25487""",1,3,9,1,0,1,1,1,1
"""Code_31076""",1,14,26,1,0,0,0,1,1
"""Code_18959""",1,3,25,1,0,0,0,1,1
"""Code_19880""",1,4,11,1,0,0,0,1,1
"""Code_19118""",1,2,32,1,0,0,0,1,1
"""Code_3709""",1,15,31,1,0,0,0,2,1
"""Code_21269""",1,2,17,1,0,0,1,1,1
"""Code_14178""",1,7,13,1,0,0,0,1,1
"""Code_7253""",1,7,24,1,0,0,0,3,2
"""Code_1330""",1,16,13,1,0,0,0,1,1
"""Code_14512""",1,15,12,1,0,0,0,1,1
"""Code_7897""",1,6,16,1,0,0,0,1,1
"""Code_17206""",1,0,22,1,0,0,0,1,1
"""Code_15495""",1,13,9,1,0,0,0,1,1
"""Code_30242""",1,6,11,1,0,0,0,1,1
"""Code_14913""",1,3,25,1,0,0,0,1,1
"""Code_14754""",1,5,22,1,0,0,0,2,1
"""Code_14635""",1,4,19,1,0,0,0,1,2
"""Code_8560""",1,4,19,1,0,0,0,1,2
"""Code_24237""",1,2,16,1,0,0,0,1,1
"""Code_26138""",1,4,10,1,0,0,0,1,2
"""Code_11235""",1,13,16,1,0,0,0,1,1
"""Code_30099""",1,7,28,1,0,0,0,4,1
"""Code_23163""",1,3,8,1,0,0,0,1,1
"""Code_4161""",1,15,12,1,0,0,0,1,1
"""Code_23523""",1,2,26,1,0,1,0,1,1
"""Code_17976""",1,2,19,1,0,0,0,2,1
"""Code_26211""",1,7,20,1,0,0,0,1,1
"""Code_28621""",1,9,8,1,0,0,1,1,1
"""Code_4239""",1,4,19,1,0,0,0,1,1
"""Code_5183""",1,13,12,1,0,0,0,1,1
"""Code_29655""",1,7,18,1,0,0,0,2,1
"""Code_30528""",1,15,14,1,0,0,0,1,2
"""Code_5315""",1,3,12,1,0,0,0,1,1
"""Code_28846""",1,9,12,1,0,1,0,1,1
"""Code_23530""",1,7,24,1,0,0,0,1,1
"""Code_13013""",1,7,24,1,0,0,0,1,1
"""Code_15562""",1,2,13,1,0,0,0,1,1
"""Code_16352""",1,1,17,1,0,0,0,1,2
"""Code_4540""",1,3,11,1,0,0,0,1,1
"""Code_8060""",1,12,9,1,0,0,0,4,1
"""Code_15167""",1,5,17,1,0,0,0,1,1
"""Code_13746""",1,7,10,1,0,0,0,1,1
"""Code_27121""",1,9,26,1,0,1,0,1,1
