description,parole_chiave,categoria
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration,License
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 27103,driving motor veh,Violation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUTOFSTATE LICENSE,person driving motor vehicle,Violation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life,Altro
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt,Safety
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle,Violation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days,Altro
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates,Altro
EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 49 mph,Violation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life,Altro
DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,valid medical examiners certificate,Altro
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle,Violation
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,stopped emerg veh,Altro
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration,License
DRIVER FAILURE TO STOP AT INTERSECTION HWY STOP SIGN AND YIELD RIGHTOFWAY,intersection hwy stop sign,Traffic Signs
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,tr 17106 26204 26206 27103,Altro
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life,Altro
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration,License
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt,Safety
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed,Altro
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police,Altro
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle,Violation
RT TURN FROM IMPROPER ROAD POSITION,improper road position,Safety
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,oper motor veh,Altro
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,turning left fail,Altro
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,unauthorized display,Altro
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half,Altro
STOPPING VEH ON HWY WITH LESS THAN 200 FT VISIBILITY,200 ft visibility,Altro
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle,Violation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license,License
EXCEEDING MAXIMUM SPEED 45 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 45 mph,Violation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration,License
DRIVING WRONG WAYONE WAY STREET,driving wrong wayone way street,Violation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license,License
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
RT TURN FROM IMPROPER ROAD POSITION,improper road position,Safety
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material,Altro
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt,Safety
EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 54 mph,Violation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 45 MPH ZONE,exceeding posted maximum speed limit 64 mph,Violation
EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,exceeding maximum speed 34 mph,Violation
FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHDAMAGEPROPERTY DAMAGE,accidentinvolving attended vehdamageproperty damage,Altro
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand,Altro
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates,Altro
FAILURE TO YIELD THE RIGHTOFWAY TO PEDESTRIAN AFTER GREEN ARROW SIGNAL,green arrow signal,Altro
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,alcohol per se,Altro
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration,License
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions,Altro
FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED VEH,accident involving damage,Altro
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued,Altro
EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 49 mph,Violation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life,Altro
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle,Violation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates,Altro
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle,Altro
PERSON DRIVING MOTOR VEH ON HWY PUBLIC USE PROPERTY ON SUSPENDED LIC AND PRIVILEGE,person driving motor veh,Violation
DIRECTING AND PERMITTING HWY VEH OPERATION CONTRARY TO LAW,permitting hwy veh operation contrary,Altro
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle,Violation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license,License
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life,Altro
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle,Violation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle,Violation
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph,Violation
DRIVING DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license,License
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle,Violation
ALLOWING VEH TO BE DRIVEN ON HWY WITH SUSPENDED REGISTRATION,suspended registration,License
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,motor vehicle following vehicle closer,Altro
