description,parole_chiave
DRIVER FAILURE TO EXERCISE DUE CARE TO AVOID PEDESTRIAN COLLISION,driver failure exercise due care avoid pedestrian collision
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
OWNER KNOWINGLY PERMITTING MOTOR VEH TO BE DRIVEN ON HWY BY UNAUTHORIZED PERSON,owner knowingly permitting motor veh driven hwy unauthorized person
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED VEH,failure stop accident involving damage attended veh
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
KNOWINGLY PERMITTING VEH UNDER PERSONS CONTROL TO BE DRIVEN ON HWY BY UNAUTHORIZED PERSON,knowingly permitting veh persons control driven hwy unauthorized person
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
EXCEEDING POSTED MAXIMUM SPEED LIMIT 62 MPH IN A POSTED 35 MPH ZONE,exceeding posted maximum speed limit 62 mph posted 35 mph zone
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
EXCEEDING MAXIMUM SPEED 71 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 71 mph posted 55 mph zone
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph posted 40 mph zone
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph posted 40 mph zone
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED,person driving motor vehicle license suspended
