description,parole_chiave
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 27103,driving motor veh
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUTOFSTATE LICENSE,person driving motor vehicle
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 49 mph
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,valid medical examiners certificate
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,stopped emerg veh
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER FAILURE TO STOP AT INTERSECTION HWY STOP SIGN AND YIELD RIGHTOFWAY,intersection hwy stop sign
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,tr 17106 26204 26206 27103
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
RT TURN FROM IMPROPER ROAD POSITION,improper road position
