parole_chiave,cluster
driver failure exercise due care avoid pedestrian collision,22
driver failure stop stop sign line,11
knowingly driving uninsured vehicle,22
owner knowingly permitting motor veh driven hwy unauthorized person,22
exceeding maximum speed 39 mph posted 30 mph zone,18
operator restrained seatbelt,12
failure stop accident involving damage attended veh,22
failure individual driving highway display license uniformed police demand,15
knowingly permitting veh persons control driven hwy unauthorized person,22
driver failure stop stop sign line,11
exceeding posted maximum speed limit 62 mph posted 35 mph zone,18
driving drive motor vehicle highway without required license authorization,10
negligent driving vehicle careless imprudent manner endangering property life person,16
exceeding maximum speed 71 mph posted 55 mph zone,18
driving motor vehicle highway without required license authorization,10
driver failure obey properly placed traffic control device instructions,3
exceeding maximum speed 49 mph posted 40 mph zone,18
exceeding maximum speed 49 mph posted 40 mph zone,18
person driving motor vehicle license suspended,10
person driving motor vehicle license suspended 17106 26204 26206 27103,10
exceeding maximum speed 58 mph posted 35 mph zone,18
driver failure obey properly placed traffic control device instructions,3
fail refuse surrender adm lawful demand suspended lic,22
driver fail stop flashing red traffic signal stop line,14
driving vehicle highway expired license,10
driving impaired alcohol,9
driver failure stop steady circular red signal,14
driving vehicle influence alcohol,9
driving veh excess reasonable prudent speed hwy,21
rt turn improper road position,22
failing display proper vehicle id,22
driver turning left fail yield right way vehicle approaching opposite direction,22
person driving motor vehicle license suspended 17106 26204 26206 27103,10
driving motor veh lic suspended 27103,22
driving unsafe veh hwy,22
failure attach vehicle registration plates front rear,13
failure display registration card upon demand police officer,6
failure licensee notify administration change address within 30 days,23
driver failure stop stop sign line,11
failure display registration card upon demand police officer,6
driving veh far impaired alcohol drive safely,22
driver failure obey properly placed traffic control device instructions,3
exceeding maximum speed 44 mph posted 35 mph zone,18
exceeding maximum speed 44 mph posted 35 mph zone,18
failure dr make lane change avail lane immed adj stopped emerg veh,23
exceeding maximum speed 39 mph posted 30 mph zone,18
driver fail make required stop sign,11
person driving motor vehicle highway public use property suspended license privilege,10
driving vehicle influence alcohol,9
displaying expired registration plate issued state,8
driver motor vehicle following vehicle closer reasonable prudent,21
aggressive driving,22
person driving motor vehicle license suspended tr 17106 26204 26206 27103,10
failure control vehicle speed highway avoid collision,20
exceeding posted maximum speed limit 67 mph posted 45 mph zone,18
stopping veh crosswalk,22
driving commercial motor veh wo commercial drivers license possession,22
driving vehicle highway without current registration plates validation tabs,13
driving vehicle influence alcohol,9
failure control veh speed hwy avoid collision,20
driving motor vehicle highway without required license authorization,10
driving motor vehicle highway without required license authorization,10
failure dr make lane change avail lane immed adj stopped emer,23
operator restrained seatbelt,12
driving vehicle influence alcohol per se,9
knowingly driving uninsured vehicle,22
driver failure obey properly placed traffic control device instructions,3
display suspended lic,22
failure control vehicle speed highway avoid collision,20
person driving motor vehicle license suspended 17106 26204 26206 27103,10
driver using hands use handheld telephone whilemotor vehicle motion,17
person driving motor vehicle highway public use property suspended license privilege,10
driving wo current tags,22
exceeding maximum speed 39 mph posted 30 mph zone,18
driving vehicle influence alcohol,9
driver turning left fail yield right way vehicle approaching opposite direction,22
driver failure obey properly placed traffic control device instructions,3
driver failure stop steady circular red signal,14
driving vehicle influence alcohol,9
driving impaired alcohol,9
exceeding maximum speed 80 mph posted 55 mph zone,18
driving vehicle influence alcohol,9
driving vehicle violation restricted license requirement,22
exceeding maximum speed 38 mph posted 25 mph zone,18
driver failure obey properly placed traffic control device instructions,3
holder learners permit driving wo req supervision,22
willfully disobeying lawful order direction police officer,22
driver motor vehicle following vehicle closer reasonable prudent,21
negligent driving vehicle careless imprudent manner endangering property life person,16
driver failure obey properly placed traffic control device instructions,3
failure display registration card upon demand police officer,6
driver changing lanes unsafe,19
permitting veh driven hwy wo current registration validation tabs issued adm,22
driver failure obey properly placed traffic control device instructions,3
driver fail stop steady circular red signal steady red arrow signal,14
person driving motor vehicle highway public use property suspended license privilege,10
negligent driving vehicle careless imprudent manner endangering property life person,16
person driving motor vehicle license suspended 17106 26204 26206 27103,10
person driving motor vehicle highway public use property suspended outofstate license,10
driving attempting drive motor vehicle highway without required license authorization,10
holder learners permit driving wo req supervision,22
driver failure obey designated lane directions,22
driving vehicle influence alcohol,9
failure control vehicle speed highway avoid collision,20
exceeding posted maximum speed limit 49 mph posted 40 mph zone,18
person driving motor vehicle highway public use property suspended license privilege,10
driver writingsendingreading textelectronic msg oper veh travel portion hwy,22
attempt driver elude police official police veh fleeing foot,22
person driving motor vehicle highway public use property suspended license privilege,10
failure display registration card upon demand police officer,6
driving vehicle influence alcohol per se,9
exceeding maximum speed 39 mph posted 30 mph zone,18
driver failure stop steady circular red signal,14
driver failure obey properly placed traffic control device instructions,3
failure attach vehicle registration plates front rear,13
operating vehicle highway unauthorized window tinting material,22
exceeding maximum speed 54 mph posted 45 mph zone,18
