parole_chiave,cluster
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving veh hwy suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving veh hwy suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
driving vehicle highway suspended registration,0
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
tag lights,1
