belts,personal_injury,property_damage,commercial_license,commercial_vehicle,vehicle_type,year,make,model,color,charge,contributed_to_accident,gender,driver_state,dL_state,arrest_type,violation_type
No,No,No,No,No,02 - Automobile,2010.0,NISSA N,ALTIMA,SILVER,13401h,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,CHEVY,IMPALE,BLACK,16303h,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,SATURN,4DR,BEIGE,16303g,No,M,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,MITS,4S,GOLD,21201a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2005.0,TOYOTA,4RUNNER,BLACK,219011b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,FORD,VN,WHITE,224123b,No,M,VA,VA,O - Foot Patrol,Citation
No,No,No,No,No,02 - Automobile,2008.0,TOYT,PRIUS,BLUE LIGHT,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,INFINITI,SUV,BEIGE,16116a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,BMW,4S,SILVER,13411d,No,M,MD,NY,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,MERZ,CLK500,WHITE,218011,No,M,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,1996.0,ACURA,2S,SILVER,16116a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,HOND,4S,WHITE,21201a1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,ACURA,ILX,SILVER,219011b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,06 - Heavy Duty Truck,2007.0,INTL,TK,WHITE,1139141a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,MERZ,C200,SILVER,21902a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,TOYOTA,CAMRY,GRAY,21405e1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,MERCEDES,4DR,BLACK,13401h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2008.0,TOYOTA,TRUCK,RED,21403c,Yes,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2008.0,TOYT,4S,GRAY,16303h,No,M,MD,MD,S - License Plate Recognition,Citation
No,No,No,No,No,02 - Automobile,1999.0,ACURA,4D,SILVER,219011b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,HOND,ACCORD,BLACK,13401h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,VOLK,4S,GREEN LGT,224123b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2002.0,AUDI,A4,SILVER,21801b,Yes,F,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1998.0,ACURA,INTEGRA,WHITE,16112c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,LEXUS,SUV,WHITE,21902a1i,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,TOYOTA,PRIUS,GREEN,21601a,Yes,M,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2005.0,JEEP,LAREDO,WHITE,21201a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,CHRYSLER,4D,BLACK,224123b,No,M,MD,MD,O - Foot Patrol,Citation
Yes,No,Yes,No,No,02 - Automobile,1996.0,BUICK,LE SABRE,RED,21402a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,CHEVROLET,CHEVROLET,MAROON,13703g,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,2012.0,TOYT,SU,WHITE,21301a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2015.0,FORD,2S,YELLOW,211001c,No,M,VA,VA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1994.0,TOYOTA,CAMRY,GREEN,21902a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,HYUNDAI,ELANTRA,SILVER,16101a,No,M,MD,XX,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2009.0,SUBARU,4S,BLUE,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2010.0,HYUNDAI,SONATA,BLACK,13401h,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1997.0,TOYOTA,COROLLA,WHITE,21308a,No,M,VA,VA,B - Unmarked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2003.0,TOYOTA,COROLLA,GRAY,13409b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1998.0,ACURA,INTEGRA,BLACK,16101a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,NISSIAN,SENTRA,GRAY,21201a1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,ACURA,4DOOR,GRAY,21201a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,NISS,QUEST,GOLD,21601a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,BMW,M3,BLACK,22406i1,No,M,MD,MD,B - Unmarked Patrol,Citation
