unique_code,keywords,category,belts,personal_injury,property_damage,commercial_license,commercial_vehicle,vehicle_type,year,make,model,color,charge,contributed_to_accident,gender,driver_state,dL_state,arrest_type,violation_type
Code_12032,driver failure exercise due care avoid pedestrian collision,careless driving,No,No,No,No,No,02 - Automobile,2018,TOTOYA,4DR,BLACK,21504a,No,M,MD,MD,A - Marked Patrol,0
Code_16050,driver failure stop stop sign line,sign violation,No,Yes,No,No,No,28 - Other,2018,CANNONDALE,CAAD10,BLACK,21707a,No,M,MD,MD,A - Marked Patrol,0
Code_30737,knowingly driving uninsured vehicle,registration problems,Yes,No,No,No,No,02 - Automobile,2008,HYUNDAI,2S,BLACK,17107,No,F,MD,MD,A - Marked Patrol,0
Code_20430,owner knowingly permitting motor veh driven hwy unauthorized person,license problem,No,No,No,No,No,02 - Automobile,2000,TOYT,COROLLA,BEIGE,16305a,No,M,MD,MD,A - Marked Patrol,0
Code_19632,exceeding maximum speed 39 mph posted 30 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2012,CHEVY,SUV,BLACK,218011,No,M,MD,MD,O - Foot Patrol,0
Code_21448,operator restrained seatbelt,belts,No,No,No,No,No,02 - Automobile,2004,HOND,TK,BLUE DARK,224123b,No,M,MD,MD,A - Marked Patrol,0
Code_15192,failure stop accident involving damage attended veh,omission of assistance,No,No,Yes,No,No,02 - Automobile,1995,JEEP,GRAND CHEROKEE,COPPER,20103a,No,M,MD,MD,A - Marked Patrol,0
Code_12369,failure individual driving highway display license uniformed police demand,license problem,No,No,No,No,No,02 - Automobile,1998,DODGE,RAM,GREEN,16112c,No,M,MD,MD,A - Marked Patrol,0
Code_12393,knowingly permitting veh persons control driven hwy unauthorized person,license problem,No,No,No,No,No,02 - Automobile,1999,VOLVO,S70,SILVER,16305b,No,F,MD,MD,B - Unmarked Patrol,0
Code_12325,driver failure stop stop sign line,sign violation,No,No,No,No,No,02 - Automobile,2005,FORD,FREESTYLE,BLACK,21707a,No,M,MD,MD,A - Marked Patrol,0
Code_25605,exceeding posted maximum speed limit 62 mph posted 35 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2009,HOND,CIVIC,BLUE,218011,No,M,MD,MD,Q - Marked Laser,0
Code_22578,driving drive motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2011,INFINITI,TK,BLACK,16101a,No,F,MD,MD,A - Marked Patrol,0
Code_12711,negligent driving vehicle careless imprudent manner endangering property life person,careless driving,No,No,Yes,No,No,02 - Automobile,2001,JEEP,4X4,GRAY,219011b,Yes,M,MD,MD,A - Marked Patrol,0
Code_4002,exceeding maximum speed 71 mph posted 55 mph zone,exceeding speed,No,No,No,No,No,05 - Light Duty Truck,2012,HYUNDAI,TK,SILVER,218011,No,F,VA,VA,Q - Marked Laser,0
Code_1959,driving motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2000,CHRYSLER,CONCORDE,GREEN,16101a,No,M,MD,MD,A - Marked Patrol,0
Code_19572,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2009,MITS,4S,BLUE,21201a1,No,M,MD,MD,A - Marked Patrol,0
Code_7989,exceeding maximum speed 49 mph posted 40 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2014,TOYOTA,PRIUS,SILVER,218011,No,M,VA,VA,A - Marked Patrol,0
Code_8838,exceeding maximum speed 49 mph posted 40 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2009,TOYOTA,4 DR,SILVER,218011,No,M,MD,MD,A - Marked Patrol,0
Code_4937,person driving motor vehicle license suspended,license problem,No,No,No,No,No,02 - Automobile,2013,VOLKS,4S,BLUE,16303h,No,M,MD,MD,S - License Plate Recognition,0
Code_6658,person driving motor vehicle license suspended 17106 26204 26206 27103,license problem,No,No,No,No,No,02 - Automobile,1996,BUICK,RIVIERA,BLACK,16303h,No,M,MD,MD,A - Marked Patrol,0
Code_11582,exceeding maximum speed 58 mph posted 35 mph zone,exceeding speed,No,No,No,No,No,05 - Light Duty Truck,2013,FORD,EDGE,WHITE,218011,No,M,MD,MD,I - Marked Moving Radar (Moving),0
Code_1255,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2014,TOYOTA,VAN,RED,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_26788,fail refuse surrender adm lawful demand suspended lic,administration problem,No,No,No,No,No,02 - Automobile,2006,FORD,MUSTANG,BLUE,16301o,No,M,MD,MD,A - Marked Patrol,0
Code_8939,driver fail stop flashing red traffic signal stop line,sign violation,No,No,No,No,No,02 - Automobile,2014,TOYOTA,RAV4,TAN,21204b,No,F,MD,MD,A - Marked Patrol,0
Code_24223,driving vehicle highway expired license,license problem,No,No,No,No,No,02 - Automobile,1998,FORD,EXPEDITION,WHITE,16115g,No,F,MD,MD,A - Marked Patrol,0
